Accel_X,Accel_Y,Accel_Z,LDR,Label
0.35,-0.06,10.44,99,ALAT_DILEPAS
0.29,-0.06,10.39,96,ALAT_DILEPAS
0.34,-0.05,10.38,97,ALAT_DILEPAS
0.33,-0.05,10.39,93,ALAT_DILEPAS
0.35,-0.03,10.46,96,ALAT_DILEPAS
0.32,-0.07,10.36,97,ALAT_DILEPAS
0.39,-0.08,10.36,105,ALAT_DILEPAS
0.33,-0.1,10.45,112,ALAT_DILEPAS
0.34,-0.06,10.38,108,ALAT_DILEPAS
0.32,-0.04,10.41,108,ALAT_DILEPAS
0.31,-0.07,10.42,110,ALAT_DILEPAS
0.31,-0.05,10.39,100,ALAT_DILEPAS
0.36,-0.04,10.39,100,ALAT_DILEPAS
0.35,-0.09,10.39,103,ALAT_DILEPAS
0.33,-0.06,10.35,101,ALAT_DILEPAS
0.37,-0.08,10.45,102,ALAT_DILEPAS
0.37,-0.08,10.4,98,ALAT_DILEPAS
0.38,-0.08,10.43,103,ALAT_DILEPAS
0.32,-0.09,10.35,103,ALAT_DILEPAS
0.34,-0.07,10.45,95,ALAT_DILEPAS
0.31,-0.09,10.43,98,ALAT_DILEPAS
0.34,-0.06,10.4,99,ALAT_DILEPAS
0.33,-0.1,10.41,101,ALAT_DILEPAS
0.33,-0.05,10.38,87,ALAT_DILEPAS
0.35,-0.06,10.4,89,ALAT_DILEPAS
0.31,-0.07,10.37,84,ALAT_DILEPAS
0.34,-0.03,10.38,0,ALAT_DILEPAS
0.33,-0.07,10.43,64,ALAT_DILEPAS
0.35,-0.11,10.41,56,ALAT_DILEPAS
0.31,-0.04,10.4,82,ALAT_DILEPAS
0.35,-0.09,10.27,86,ALAT_DILEPAS
0.32,-0.05,10.37,96,ALAT_DILEPAS
0.34,-0.03,10.42,90,ALAT_DILEPAS
0.32,-0.05,10.4,88,ALAT_DILEPAS
0.35,-0.03,10.34,95,ALAT_DILEPAS
0.33,-0.06,10.38,107,ALAT_DILEPAS
0.32,-0.08,10.42,99,ALAT_DILEPAS
0.34,-0.06,10.44,93,ALAT_DILEPAS
0.36,-0.07,10.39,95,ALAT_DILEPAS
0.33,-0.08,10.4,101,ALAT_DILEPAS
0.33,-0.05,10.35,96,ALAT_DILEPAS
0.33,-0.04,10.42,96,ALAT_DILEPAS
0.35,-0.05,10.37,94,ALAT_DILEPAS
0.34,-0.1,10.36,87,ALAT_DILEPAS
0.32,-0.06,10.42,86,ALAT_DILEPAS
0.34,-0.07,10.38,90,ALAT_DILEPAS
0.32,-0.07,10.41,83,ALAT_DILEPAS
0.31,-0.05,10.38,79,ALAT_DILEPAS
0.32,-0.11,10.42,80,ALAT_DILEPAS
0.35,-0.09,10.38,80,ALAT_DILEPAS
0.36,-0.06,10.38,81,ALAT_DILEPAS
0.32,-0.08,10.35,79,ALAT_DILEPAS
0.35,-0.05,10.4,78,ALAT_DILEPAS
0.34,-0.06,10.42,66,ALAT_DILEPAS
0.34,-0.09,10.4,71,ALAT_DILEPAS
0.33,-0.07,10.46,75,ALAT_DILEPAS
0.33,-0.08,10.42,79,ALAT_DILEPAS
0.35,-0.08,10.4,79,ALAT_DILEPAS
0.37,-0.06,10.41,75,ALAT_DILEPAS
0.35,-0.06,10.39,64,ALAT_DILEPAS
0.34,-0.07,10.48,69,ALAT_DILEPAS
0.32,-0.07,10.46,69,ALAT_DILEPAS
0.33,-0.06,10.35,71,ALAT_DILEPAS
0.4,-0.05,10.23,76,ALAT_DILEPAS
0.32,-0.09,10.39,73,ALAT_DILEPAS
0.35,-0.11,10.41,71,ALAT_DILEPAS
0.33,-0.07,10.42,76,ALAT_DILEPAS
0.35,-0.06,10.39,76,ALAT_DILEPAS
0.34,-0.08,10.37,80,ALAT_DILEPAS
0.32,-0.08,10.41,81,ALAT_DILEPAS
0.33,-0.05,10.41,80,ALAT_DILEPAS
0.36,-0.09,10.42,80,ALAT_DILEPAS
0.34,-0.03,10.41,80,ALAT_DILEPAS
0.35,-0.06,10.4,85,ALAT_DILEPAS
0.34,-0.09,10.41,79,ALAT_DILEPAS
0.32,-0.08,10.39,83,ALAT_DILEPAS
0.32,-0.08,10.39,85,ALAT_DILEPAS
0.33,-0.09,10.41,81,ALAT_DILEPAS
0.32,-0.07,10.4,81,ALAT_DILEPAS
0.36,-0.1,10.4,92,ALAT_DILEPAS
0.37,-0.09,10.38,101,ALAT_DILEPAS
0.36,-0.07,10.43,97,ALAT_DILEPAS
0.33,-0.05,10.4,97,ALAT_DILEPAS
0.34,-0.05,10.42,105,ALAT_DILEPAS
0.33,-0.09,10.36,109,ALAT_DILEPAS
0.3,-0.09,10.36,109,ALAT_DILEPAS
