Accel_X,Accel_Y,Accel_Z,LDR,Label
1.41,-0.33,10.35,0,SEDENTER
0.3,-0.07,10.46,95,SEDENTER
0.33,-0.07,10.41,98,SEDENTER
0.32,-0.04,10.4,99,SEDENTER
0.35,-0.06,10.41,102,SEDENTER
0.34,-0.06,10.39,97,SEDENTER
-0.28,0.07,10.45,96,SEDENTER
-0.95,0.71,10.36,0,SEDENTER
4.75,3.59,10.49,0,SEDENTER
1.87,-0.74,10.01,0,SEDENTER
5.1,-1.51,8.83,123,SEDENTER
4.3,-4.56,7.17,0,SEDENTER
1.92,-5.61,8.57,80,SEDENTER
1.55,-0.32,10.39,0,SEDENTER
1.4,-0.3,10.2,0,SEDENTER
1.18,-0.38,10.22,0,SEDENTER
1.17,-0.42,10.38,0,SEDENTER
1.24,-0.36,10.29,0,SEDENTER
1.3,-0.42,10.47,0,SEDENTER
1.31,-0.39,10.37,0,SEDENTER
1.34,-0.34,10.35,0,SEDENTER
1.25,-0.31,10.41,0,SEDENTER
1.3,-0.31,10.4,0,SEDENTER
1.34,-0.35,10.33,0,SEDENTER
1.25,-0.23,10.37,0,SEDENTER
1.09,-0.23,10.2,0,SEDENTER
1.21,-0.22,10.39,0,SEDENTER
1.11,-0.29,10.54,0,SEDENTER
1.16,-0.27,10.45,0,SEDENTER
0.93,-0.11,10.41,0,SEDENTER
1.06,-0.21,10.33,0,SEDENTER
1.13,-0.43,10.33,0,SEDENTER
1.19,-0.37,10.37,0,SEDENTER
1.19,-0.41,10.23,0,SEDENTER
1.39,-0.45,9.76,0,SEDENTER
1.0,-0.32,10.46,0,SEDENTER
1.24,-0.6,10.35,0,SEDENTER
1.13,-0.17,10.11,0,SEDENTER
1.24,-0.23,10.41,0,SEDENTER
1.2,-0.18,10.3,0,SEDENTER
1.13,-0.26,10.39,0,SEDENTER
1.45,-0.08,10.3,0,SEDENTER
1.45,-0.07,10.29,0,SEDENTER
0.96,-0.31,11.81,0,SEDENTER
1.32,-0.35,10.41,0,SEDENTER
1.14,-0.23,10.37,0,SEDENTER
1.26,-0.18,10.33,0,SEDENTER
1.29,-0.17,10.38,0,SEDENTER
1.16,-0.19,10.57,0,SEDENTER
1.27,-0.63,10.32,0,SEDENTER
1.31,-0.5,10.34,0,SEDENTER
1.51,-0.55,10.12,0,SEDENTER
1.44,-0.91,10.47,0,SEDENTER
2.3,0.09,10.7,0,SEDENTER
2.21,0.62,10.18,0,SEDENTER
2.41,0.56,10.11,0,SEDENTER
2.71,0.42,9.72,48,SEDENTER
2.85,0.24,10.06,16,SEDENTER
2.64,0.37,10.23,0,SEDENTER
2.53,0.27,10.16,0,SEDENTER
2.47,0.09,10.2,0,SEDENTER
2.16,0.19,10.08,0,SEDENTER
2.7,0.24,10.12,0,SEDENTER
1.95,0.67,10.35,0,SEDENTER
1.12,0.3,10.14,34,SEDENTER
1.01,-0.44,10.56,11,SEDENTER
1.08,-0.19,10.53,0,SEDENTER
1.35,-0.81,9.56,0,SEDENTER
0.87,-0.52,10.3,0,SEDENTER
1.11,-0.73,10.33,0,SEDENTER
1.31,-0.88,10.27,0,SEDENTER
1.19,-0.86,10.43,0,SEDENTER
1.29,-0.85,10.15,0,SEDENTER
1.03,-0.49,10.46,0,SEDENTER
1.57,-1.05,10.06,0,SEDENTER
1.35,-0.72,10.34,0,SEDENTER
1.48,-1.05,10.23,0,SEDENTER
1.71,-1.24,10.27,0,SEDENTER
1.96,-1.65,10.11,0,SEDENTER
2.01,-1.73,10.14,0,SEDENTER
0.07,-0.59,9.9,0,SEDENTER
0.06,-0.91,10.71,0,SEDENTER
-1.28,-0.31,10.01,0,SEDENTER
-0.13,-0.23,10.01,63,SEDENTER
-0.32,-0.11,10.17,59,SEDENTER
-0.71,-0.31,10.27,62,SEDENTER
-0.84,-0.25,10.53,62,SEDENTER
-0.82,-0.36,10.35,61,SEDENTER
-0.85,-0.31,10.46,59,SEDENTER
-0.83,-0.32,10.32,64,SEDENTER
-0.86,-0.22,10.36,0,SEDENTER
-1.04,-0.31,10.3,1,SEDENTER
-1.02,-0.29,10.31,59,SEDENTER
-0.99,-0.18,10.5,60,SEDENTER
-0.97,-0.22,10.36,55,SEDENTER
-0.82,-0.07,10.89,50,SEDENTER
-1.09,-0.32,10.43,48,SEDENTER
-1.1,-0.45,10.2,45,SEDENTER
-1.24,-0.38,10.26,45,SEDENTER
-1.93,0.19,9.98,44,SEDENTER
-2.43,-0.08,10.27,48,SEDENTER
-2.75,0.29,9.59,85,SEDENTER
-4.15,-0.35,9.55,111,SEDENTER
-4.2,-0.27,9.02,100,SEDENTER
-2.98,-0.09,10.39,96,SEDENTER
-0.48,0.35,10.35,112,SEDENTER
0.55,-0.51,10.12,105,SEDENTER
0.53,-0.14,10.21,103,SEDENTER
-0.22,-0.4,11.01,118,SEDENTER
1.01,-1.68,9.73,128,SEDENTER
0.82,-0.33,10.32,111,SEDENTER
-0.48,-0.66,9.43,112,SEDENTER
0.5,-0.28,10.38,113,SEDENTER
0.59,-0.17,10.39,119,SEDENTER
0.54,-0.28,10.34,105,SEDENTER
0.53,-0.26,10.37,118,SEDENTER
0.53,-0.24,10.41,112,SEDENTER
0.59,-0.22,10.38,109,SEDENTER
0.55,-0.25,10.37,20,SEDENTER
0.6,-0.29,10.44,0,SEDENTER
0.51,-0.28,10.34,106,SEDENTER
0.57,-0.26,10.45,99,SEDENTER
0.47,-0.36,10.29,40,SEDENTER
0.57,-0.28,10.41,80,SEDENTER
0.6,-0.29,10.46,3,SEDENTER
0.56,-0.29,10.44,112,SEDENTER
0.55,-0.28,10.35,108,SEDENTER
0.54,-0.28,10.38,111,SEDENTER
0.57,-0.23,10.33,112,SEDENTER
0.57,-0.31,10.37,106,SEDENTER
0.55,-0.28,10.42,111,SEDENTER
0.58,-0.29,10.39,112,SEDENTER
0.57,-0.29,10.43,107,SEDENTER
0.57,-0.33,10.39,111,SEDENTER
0.58,-0.28,10.41,0,SEDENTER
0.54,-0.28,10.4,0,SEDENTER
0.54,-0.23,10.41,0,SEDENTER
0.59,-0.28,10.41,0,SEDENTER
0.61,-0.26,10.46,88,SEDENTER
0.53,-0.28,10.47,0,SEDENTER
0.62,-0.26,10.37,97,SEDENTER
0.56,-0.28,10.38,100,SEDENTER
0.5,-0.21,10.34,112,SEDENTER
0.54,-0.22,10.36,99,SEDENTER
0.62,-0.28,10.51,112,SEDENTER
0.6,-0.24,10.36,118,SEDENTER
0.62,-0.24,10.44,112,SEDENTER
0.52,0.12,11.21,115,SEDENTER
0.69,-0.07,10.77,117,SEDENTER
0.79,-0.29,10.26,114,SEDENTER
0.54,-0.25,10.37,114,SEDENTER
0.52,-0.2,10.47,112,SEDENTER
0.57,-0.26,10.44,117,SEDENTER
0.53,-0.28,10.42,117,SEDENTER
0.58,-0.27,10.41,115,SEDENTER
0.59,-0.27,10.43,117,SEDENTER
0.54,-0.26,10.32,119,SEDENTER
0.57,-0.26,10.39,113,SEDENTER
0.57,-0.28,10.35,114,SEDENTER
0.55,-0.21,10.38,113,SEDENTER
0.59,-0.27,10.46,119,SEDENTER
0.58,-0.25,10.4,116,SEDENTER
0.58,-0.27,10.36,114,SEDENTER
0.55,-0.26,10.43,114,SEDENTER
0.58,-0.18,10.39,124,SEDENTER
0.61,-0.25,10.37,100,SEDENTER
0.55,-0.23,10.39,97,SEDENTER
0.54,-0.28,10.3,106,SEDENTER
0.62,-0.14,9.18,116,SEDENTER
0.56,-0.23,10.41,112,SEDENTER
0.24,-0.23,10.4,120,SEDENTER
0.84,0.78,11.1,122,SEDENTER
0.59,-0.34,10.39,133,SEDENTER
0.62,-0.4,10.74,129,SEDENTER
0.93,-0.56,10.83,126,SEDENTER
0.29,-1.09,10.81,131,SEDENTER
0.7,-0.59,9.82,111,SEDENTER
0.78,-0.69,10.35,107,SEDENTER
0.74,-1.22,10.24,109,SEDENTER
0.6,-0.99,10.3,0,SEDENTER
0.52,-1.03,10.38,0,SEDENTER
0.67,-0.74,10.41,0,SEDENTER
0.71,-0.69,10.38,0,SEDENTER
0.74,-0.7,10.41,0,SEDENTER
0.73,-0.66,10.38,0,SEDENTER
0.7,-0.68,10.35,0,SEDENTER
0.7,-0.67,10.4,0,SEDENTER
0.7,-0.66,10.39,0,SEDENTER
0.65,-0.68,10.4,0,SEDENTER
0.84,-0.63,10.3,80,SEDENTER
1.01,-0.21,10.21,105,SEDENTER
0.62,-0.13,10.06,107,SEDENTER
0.96,-0.37,10.36,96,SEDENTER
0.25,0.9,10.45,102,SEDENTER
0.88,0.65,10.66,112,SEDENTER
2.41,1.37,10.14,112,SEDENTER
1.92,1.07,10.08,113,SEDENTER
1.8,0.76,9.73,118,SEDENTER
1.58,0.89,10.32,122,SEDENTER
1.52,0.89,10.39,119,SEDENTER
1.63,0.86,10.23,125,SEDENTER
1.35,0.59,10.29,125,SEDENTER
0.32,-0.43,10.77,122,SEDENTER
0.09,0.05,10.9,122,SEDENTER
2.45,-0.59,11.75,112,SEDENTER
0.18,-0.62,10.84,112,SEDENTER
-0.07,0.13,10.62,41,SEDENTER
-0.35,-0.05,10.47,0,SEDENTER
0.76,-0.44,8.09,112,SEDENTER
1.11,0.01,10.21,103,SEDENTER
1.12,-0.1,10.35,102,SEDENTER
0.9,-0.02,10.16,107,SEDENTER
-0.41,0.34,10.77,0,SEDENTER
1.39,-0.17,10.79,103,SEDENTER
1.55,-0.33,10.31,103,SEDENTER
1.83,-0.27,9.68,111,SEDENTER
0.99,0.04,10.27,114,SEDENTER
0.37,0.41,10.39,111,SEDENTER
0.52,0.51,10.46,111,SEDENTER
0.93,0.25,10.49,112,SEDENTER
1.21,-0.09,10.31,86,SEDENTER
1.38,-0.23,10.38,101,SEDENTER
1.35,-0.23,10.37,112,SEDENTER
1.42,-0.23,10.37,100,SEDENTER
1.42,-0.37,10.33,97,SEDENTER
1.5,-0.45,10.3,103,SEDENTER
0.91,-0.34,10.43,98,SEDENTER
0.89,-0.39,10.41,95,SEDENTER
0.74,-0.31,10.24,80,SEDENTER
0.64,-0.33,10.41,61,SEDENTER
0.74,-0.22,10.44,93,SEDENTER
1.35,-0.28,10.34,101,SEDENTER
1.38,-0.3,10.34,99,SEDENTER
1.36,-0.33,10.38,97,SEDENTER
1.35,-0.31,10.31,104,SEDENTER
1.36,-0.33,10.33,107,SEDENTER
1.28,-0.27,10.33,108,SEDENTER
1.45,-0.2,10.37,89,SEDENTER
1.47,-0.22,10.21,80,SEDENTER
1.34,-0.12,10.35,93,SEDENTER
1.43,-0.2,10.32,0,SEDENTER
1.41,-0.17,10.37,10,SEDENTER
1.41,-0.17,10.37,75,SEDENTER
1.35,-0.15,10.29,64,SEDENTER
1.4,-0.16,10.31,65,SEDENTER
1.42,-0.14,10.31,63,SEDENTER
1.39,-0.19,10.36,67,SEDENTER
1.38,-0.17,10.32,63,SEDENTER
1.36,-0.14,10.38,68,SEDENTER
1.44,-0.2,10.38,64,SEDENTER
1.38,-0.16,10.27,64,SEDENTER
1.35,-0.12,10.39,59,SEDENTER
1.43,-0.16,10.29,60,SEDENTER
1.41,-0.17,10.39,48,SEDENTER
1.42,-0.13,10.34,0,SEDENTER
1.32,-0.13,10.32,41,SEDENTER
1.39,-0.1,10.42,65,SEDENTER
1.36,-0.15,10.28,69,SEDENTER
1.41,0.01,10.27,41,SEDENTER
1.44,-0.08,10.34,64,SEDENTER
1.44,-0.15,10.32,0,SEDENTER
1.38,-0.16,10.38,0,SEDENTER
1.39,-0.15,10.4,40,SEDENTER
1.44,-0.14,10.35,75,SEDENTER
1.4,-0.15,10.34,79,SEDENTER
1.37,-0.15,10.39,74,SEDENTER
1.39,-0.15,10.35,59,SEDENTER
1.38,-0.18,10.33,48,SEDENTER
1.69,-0.39,10.25,47,SEDENTER
1.28,-0.06,10.34,58,SEDENTER
1.31,-0.11,10.36,70,SEDENTER
1.34,-0.12,10.35,70,SEDENTER
1.33,-0.13,10.37,71,SEDENTER
1.31,-0.15,10.39,71,SEDENTER
1.35,-0.11,10.34,49,SEDENTER
1.37,-0.11,10.4,65,SEDENTER
1.29,-0.11,10.32,51,SEDENTER
1.3,-0.13,10.38,66,SEDENTER
1.33,-0.12,10.4,59,SEDENTER
1.33,-0.11,10.32,54,SEDENTER
1.29,-0.11,10.38,57,SEDENTER
1.33,-0.11,10.43,55,SEDENTER
1.36,-0.15,10.35,55,SEDENTER
1.31,-0.11,10.36,64,SEDENTER
1.37,-0.16,10.34,62,SEDENTER
1.36,-0.12,10.29,65,SEDENTER
1.31,-0.13,10.44,63,SEDENTER
1.4,-0.15,10.25,97,SEDENTER
1.43,-0.21,10.37,105,SEDENTER
1.33,-0.3,10.27,105,SEDENTER
1.43,-0.05,10.41,108,SEDENTER
0.76,0.49,10.39,106,SEDENTER
0.76,0.34,10.42,108,SEDENTER
1.13,0.24,10.38,0,SEDENTER
0.79,0.53,10.42,17,SEDENTER
