Accel_X,Accel_Y,Accel_Z,LDR,Label
-0.14,9.81,0.28,81,SEDENTER
-0.09,9.77,0.33,82,SEDENTER
-0.05,9.78,0.32,85,SEDENTER
0.07,9.79,0.3,83,SEDENTER
0.09,9.85,0.28,82,SEDENTER
0.1,9.77,0.44,80,SEDENTER
0.16,9.88,0.37,83,SEDENTER
0.09,9.85,0.26,82,SEDENTER
0.08,9.77,0.3,82,SEDENTER
0.15,9.83,0.32,80,SEDENTER
0.18,9.77,0.44,71,SEDENTER
-0.01,9.88,0.41,84,SEDENTER
-0.02,9.84,0.44,83,SEDENTER
0.02,9.84,0.36,84,SEDENTER
0.08,9.79,0.34,85,SEDENTER
0.24,9.88,0.33,74,SEDENTER
0.3,9.78,0.27,83,SEDENTER
0.08,9.9,0.38,85,SEDENTER
0.19,9.79,0.26,84,SEDENTER
0.17,9.93,0.18,81,SEDENTER
0.28,9.74,0.32,80,SEDENTER
0.25,9.79,0.31,82,SEDENTER
0.2,9.78,0.32,75,SEDENTER
0.28,9.81,0.27,81,SEDENTER
0.26,9.77,0.32,77,SEDENTER
0.24,9.8,0.33,81,SEDENTER
0.17,9.88,0.26,82,SEDENTER
0.27,9.73,0.35,83,SEDENTER
0.15,9.76,0.29,83,SEDENTER
0.14,9.8,0.29,83,SEDENTER
0.22,9.79,0.35,84,SEDENTER
0.16,9.7,0.34,80,SEDENTER
0.11,9.78,0.38,80,SEDENTER
0.13,9.84,0.29,81,SEDENTER
0.14,9.8,0.29,82,SEDENTER
0.2,9.74,0.25,82,SEDENTER
0.16,9.77,0.3,77,SEDENTER
0.18,9.75,0.34,81,SEDENTER
0.23,9.79,0.37,81,SEDENTER
0.18,9.9,0.32,80,SEDENTER
0.25,9.86,0.29,83,SEDENTER
0.26,9.89,0.23,75,SEDENTER
0.16,9.73,0.96,81,SEDENTER
0.03,9.8,0.68,80,SEDENTER
-0.31,9.86,0.78,82,SEDENTER
-0.23,9.7,0.66,80,SEDENTER
-0.04,9.8,0.69,81,SEDENTER
0.0,9.78,0.71,80,SEDENTER
-0.07,9.79,0.72,81,SEDENTER
0.02,9.91,0.64,80,SEDENTER
0.12,9.75,0.58,83,SEDENTER
0.14,9.85,0.61,82,SEDENTER
0.15,9.83,0.63,81,SEDENTER
0.13,9.79,0.68,84,SEDENTER
0.11,9.85,0.65,80,SEDENTER
0.2,9.81,0.65,80,SEDENTER
