Accel_X,Accel_Y,Accel_Z,LDR,Label
0.11,-2.4,10.21,155,SEDENTER
0.11,-2.46,10.07,150,SEDENTER
0.13,-2.44,10.05,151,SEDENTER
0.12,-2.48,10.04,151,SEDENTER
0.12,-2.41,10.07,151,SEDENTER
0.13,-2.47,10.07,155,SEDENTER
0.14,-2.46,10.1,155,SEDENTER
0.13,-2.47,10.08,149,SEDENTER
0.14,-2.47,10.13,149,SEDENTER
0.1,-2.44,10.11,153,SEDENTER
0.12,-2.46,10.02,157,SEDENTER
0.14,-2.5,10.11,157,SEDENTER
0.12,-2.48,10.07,159,SEDENTER
0.09,-2.46,10.09,158,SEDENTER
0.15,-2.45,10.1,159,SEDENTER
0.1,-2.45,10.1,157,SEDENTER
0.1,-2.44,10.07,151,SEDENTER
0.16,-2.45,10.03,154,SEDENTER
0.11,-2.44,10.11,155,SEDENTER
0.09,-2.48,10.16,157,SEDENTER
0.13,-2.49,10.04,157,SEDENTER
0.11,-2.48,10.1,158,SEDENTER
0.1,-2.41,10.05,154,SEDENTER
0.1,-2.48,10.1,151,SEDENTER
0.17,-2.47,10.07,155,SEDENTER
0.13,-2.49,10.14,157,SEDENTER
0.13,-2.46,10.06,158,SEDENTER
0.12,-2.45,10.15,156,SEDENTER
0.1,-2.47,10.13,154,SEDENTER
0.12,-2.48,10.07,151,SEDENTER
0.09,-2.47,10.13,154,SEDENTER
0.1,-2.46,10.05,154,SEDENTER
0.1,-2.45,10.11,155,SEDENTER
0.12,-2.43,10.07,156,SEDENTER
0.12,-2.45,10.11,155,SEDENTER
0.11,-2.43,10.08,156,SEDENTER
0.12,-2.43,10.12,153,SEDENTER
0.12,-2.44,10.13,149,SEDENTER
0.13,-2.47,10.14,150,SEDENTER
0.14,-2.47,10.1,153,SEDENTER
0.12,-2.44,10.2,157,SEDENTER
0.11,-2.48,10.05,153,SEDENTER
0.11,-2.48,10.07,151,SEDENTER
0.08,-2.47,10.1,150,SEDENTER
0.09,-2.48,10.03,149,SEDENTER
0.13,-2.43,10.16,151,SEDENTER
0.11,-2.48,10.03,155,SEDENTER
0.06,-2.48,10.1,156,SEDENTER
0.13,-2.49,10.08,157,SEDENTER
0.11,-2.43,10.09,155,SEDENTER
0.09,-2.44,10.06,152,SEDENTER
0.12,-2.47,10.06,154,SEDENTER
0.12,-2.46,10.12,157,SEDENTER
0.11,-2.48,10.12,155,SEDENTER
0.09,-2.47,10.1,152,SEDENTER
0.11,-2.43,10.13,154,SEDENTER
0.12,-2.47,10.05,154,SEDENTER
0.08,-2.42,10.15,155,SEDENTER
0.08,-2.45,10.07,154,SEDENTER
0.12,-2.45,10.08,154,SEDENTER
0.07,-2.44,10.14,157,SEDENTER
0.1,-2.45,10.11,148,SEDENTER
0.13,-2.43,10.08,149,SEDENTER
0.12,-2.44,10.12,149,SEDENTER
0.11,-2.46,10.09,153,SEDENTER
0.13,-2.44,10.12,151,SEDENTER
0.12,-2.45,10.07,152,SEDENTER
0.13,-2.44,10.17,150,SEDENTER
0.16,-2.47,10.07,153,SEDENTER
0.11,-2.46,10.06,151,SEDENTER
0.1,-2.42,10.18,154,SEDENTER
0.12,-2.49,10.05,146,SEDENTER
0.1,-2.47,10.05,149,SEDENTER
0.1,-2.49,10.05,149,SEDENTER
0.11,-2.48,10.06,151,SEDENTER
0.1,-2.44,10.07,149,SEDENTER
0.26,-2.45,10.1,154,SEDENTER
0.02,-2.49,9.88,154,SEDENTER
0.02,-2.44,10.03,158,SEDENTER
0.04,-2.45,10.02,155,SEDENTER
0.09,-2.43,10.14,153,SEDENTER
0.1,-2.46,10.06,153,SEDENTER
0.03,-2.46,10.11,153,SEDENTER
0.09,-2.43,10.12,154,SEDENTER
0.1,-2.44,10.14,149,SEDENTER
0.07,-2.46,10.08,154,SEDENTER
0.08,-2.46,10.07,151,SEDENTER
0.08,-2.5,10.02,149,SEDENTER
0.09,-2.5,10.06,148,SEDENTER
0.1,-2.44,10.04,154,SEDENTER
0.06,-2.49,10.04,158,SEDENTER
0.12,-2.47,10.13,149,SEDENTER
0.06,-2.42,10.09,151,SEDENTER
0.09,-2.46,10.06,147,SEDENTER
0.1,-2.46,10.02,149,SEDENTER
0.05,-2.43,10.11,151,SEDENTER
0.09,-2.47,10.18,147,SEDENTER
0.09,-2.4,10.1,152,SEDENTER
0.07,-2.48,10.08,152,SEDENTER
0.09,-2.44,10.04,157,SEDENTER
0.05,-2.49,10.1,154,SEDENTER
0.07,-2.46,10.11,151,SEDENTER
0.08,-2.45,10.12,147,SEDENTER
0.08,-2.43,10.07,151,SEDENTER
0.1,-2.43,10.11,154,SEDENTER
0.09,-2.42,10.14,155,SEDENTER
0.06,-2.44,10.15,154,SEDENTER
0.03,-2.46,10.01,153,SEDENTER
0.05,-2.47,10.17,157,SEDENTER
0.03,-2.46,10.09,151,SEDENTER
0.09,-2.49,10.02,154,SEDENTER
0.1,-2.46,10.14,153,SEDENTER
0.07,-2.44,10.12,158,SEDENTER
0.1,-2.45,10.17,157,SEDENTER
0.05,-2.47,10.11,156,SEDENTER
0.06,-2.45,10.14,154,SEDENTER
0.1,-2.47,10.12,150,SEDENTER
0.07,-2.46,10.02,151,SEDENTER
0.07,-2.46,10.12,147,SEDENTER
0.1,-2.39,10.08,150,SEDENTER
0.02,-2.46,10.1,151,SEDENTER
0.08,-2.37,10.14,158,SEDENTER
0.03,-2.45,10.13,157,SEDENTER
0.06,-2.43,10.16,153,SEDENTER
0.11,-2.45,10.08,149,SEDENTER
0.08,-2.45,10.07,155,SEDENTER
0.06,-2.41,9.98,155,SEDENTER
0.12,-2.44,10.09,159,SEDENTER
0.1,-2.43,10.11,159,SEDENTER
0.11,-2.42,10.19,159,SEDENTER
0.11,-2.46,10.11,157,SEDENTER
0.12,-2.43,10.08,155,SEDENTER
0.14,-2.43,10.1,153,SEDENTER
0.08,-2.49,10.08,154,SEDENTER
0.08,-2.45,10.13,155,SEDENTER
0.1,-2.46,10.03,154,SEDENTER
0.08,-2.45,10.14,156,SEDENTER
0.11,-2.41,10.15,155,SEDENTER
