Accel_X,Accel_Y,Accel_Z,LDR,Label
0.65,-0.03,11.14,213,ALAT_DILEPAS
0.76,-0.05,10.38,219,ALAT_DILEPAS
0.85,-0.1,10.42,215,ALAT_DILEPAS
0.85,-0.1,10.47,218,ALAT_DILEPAS
0.8,-0.12,10.43,219,ALAT_DILEPAS
0.85,-0.08,10.5,219,ALAT_DILEPAS
0.84,-0.1,10.39,207,ALAT_DILEPAS
0.83,-0.09,10.4,208,ALAT_DILEPAS
0.83,-0.11,10.38,208,ALAT_DILEPAS
0.87,-0.14,10.47,208,ALAT_DILEPAS
0.84,-0.11,10.43,208,ALAT_DILEPAS
0.84,-0.11,10.44,211,ALAT_DILEPAS
0.84,-0.09,10.41,204,ALAT_DILEPAS
0.84,-0.1,10.45,209,ALAT_DILEPAS
0.82,-0.14,10.41,210,ALAT_DILEPAS
0.78,-0.07,10.46,214,ALAT_DILEPAS
0.9,-0.1,10.41,222,ALAT_DILEPAS
0.83,-0.16,10.35,222,ALAT_DILEPAS
0.89,-0.07,10.45,219,ALAT_DILEPAS
0.86,-0.06,10.47,222,ALAT_DILEPAS
0.86,-0.1,10.43,220,ALAT_DILEPAS
0.85,-0.1,10.4,209,ALAT_DILEPAS
0.85,-0.08,10.41,214,ALAT_DILEPAS
0.85,-0.06,10.45,219,ALAT_DILEPAS
0.83,-0.1,10.4,219,ALAT_DILEPAS
0.84,-0.09,10.46,223,ALAT_DILEPAS
0.86,-0.08,10.4,219,ALAT_DILEPAS
0.86,-0.09,10.41,214,ALAT_DILEPAS
0.81,-0.08,10.44,208,ALAT_DILEPAS
0.83,-0.12,10.39,213,ALAT_DILEPAS
0.82,-0.1,10.41,217,ALAT_DILEPAS
0.84,-0.11,10.41,211,ALAT_DILEPAS
0.84,-0.09,10.52,211,ALAT_DILEPAS
0.85,-0.11,10.42,208,ALAT_DILEPAS
0.84,-0.07,10.45,205,ALAT_DILEPAS
0.85,-0.07,10.6,205,ALAT_DILEPAS
0.87,-0.08,10.59,198,ALAT_DILEPAS
0.85,-0.02,10.73,208,ALAT_DILEPAS
0.84,-0.08,10.43,208,ALAT_DILEPAS
0.86,-0.09,10.36,210,ALAT_DILEPAS
0.79,-0.05,10.5,209,ALAT_DILEPAS
0.82,-0.06,10.51,208,ALAT_DILEPAS
0.84,-0.13,10.47,206,ALAT_DILEPAS
0.82,-0.13,10.28,207,ALAT_DILEPAS
0.86,-0.1,10.43,205,ALAT_DILEPAS
0.83,-0.12,10.39,208,ALAT_DILEPAS
0.87,-0.06,10.37,210,ALAT_DILEPAS
0.84,-0.08,10.36,208,ALAT_DILEPAS
0.81,-0.11,10.63,206,ALAT_DILEPAS
0.8,-0.09,10.37,207,ALAT_DILEPAS
0.84,-0.06,10.45,208,ALAT_DILEPAS
0.81,-0.08,10.44,208,ALAT_DILEPAS
0.85,-0.1,10.42,211,ALAT_DILEPAS
0.88,-0.09,10.41,207,ALAT_DILEPAS
0.83,-0.1,10.51,208,ALAT_DILEPAS
0.83,-0.02,10.45,208,ALAT_DILEPAS
0.81,-0.07,10.36,208,ALAT_DILEPAS
0.8,-0.07,10.44,208,ALAT_DILEPAS
0.85,-0.06,10.37,209,ALAT_DILEPAS
0.83,-0.15,10.43,209,ALAT_DILEPAS
0.84,-0.09,10.36,201,ALAT_DILEPAS
0.86,-0.1,10.57,208,ALAT_DILEPAS
0.84,-0.08,10.34,211,ALAT_DILEPAS
0.88,-0.16,10.3,213,ALAT_DILEPAS
0.83,-0.05,10.43,211,ALAT_DILEPAS
0.87,-0.09,10.4,209,ALAT_DILEPAS
0.86,-0.09,10.44,207,ALAT_DILEPAS
0.89,-0.12,10.02,196,ALAT_DILEPAS
0.84,-0.09,10.41,212,ALAT_DILEPAS
0.84,-0.07,10.34,215,ALAT_DILEPAS
0.85,-0.12,10.56,212,ALAT_DILEPAS
0.83,-0.07,10.4,209,ALAT_DILEPAS
0.79,-0.07,10.37,208,ALAT_DILEPAS
0.86,-0.03,10.54,212,ALAT_DILEPAS
0.83,-0.07,10.44,210,ALAT_DILEPAS
0.86,-0.08,10.42,210,ALAT_DILEPAS
0.87,-0.08,10.42,198,ALAT_DILEPAS
0.83,-0.08,10.35,208,ALAT_DILEPAS
0.82,-0.1,10.49,207,ALAT_DILEPAS
0.82,-0.05,10.78,210,ALAT_DILEPAS
0.86,-0.12,10.22,211,ALAT_DILEPAS
0.85,-0.1,10.3,209,ALAT_DILEPAS
0.82,-0.07,10.44,205,ALAT_DILEPAS
0.85,-0.11,10.47,204,ALAT_DILEPAS
0.78,-0.14,10.51,206,ALAT_DILEPAS
0.86,-0.11,10.35,208,ALAT_DILEPAS
0.84,-0.08,10.43,208,ALAT_DILEPAS
0.84,-0.1,10.42,210,ALAT_DILEPAS
0.84,-0.09,10.4,209,ALAT_DILEPAS
0.82,-0.1,10.44,209,ALAT_DILEPAS
0.85,-0.11,10.27,208,ALAT_DILEPAS
0.86,-0.01,10.44,208,ALAT_DILEPAS
0.82,-0.09,10.48,201,ALAT_DILEPAS
0.83,-0.11,10.27,208,ALAT_DILEPAS
0.84,-0.13,10.3,207,ALAT_DILEPAS
0.84,-0.02,10.37,202,ALAT_DILEPAS
0.84,-0.04,10.59,194,ALAT_DILEPAS
0.83,-0.07,10.5,198,ALAT_DILEPAS
0.82,-0.07,10.5,207,ALAT_DILEPAS
0.84,-0.09,10.46,208,ALAT_DILEPAS
0.82,-0.08,10.38,208,ALAT_DILEPAS
0.82,-0.09,10.46,206,ALAT_DILEPAS
0.85,-0.08,10.47,199,ALAT_DILEPAS
0.8,-0.13,10.5,205,ALAT_DILEPAS
0.85,-0.09,10.42,207,ALAT_DILEPAS
0.81,-0.07,10.47,207,ALAT_DILEPAS
0.82,-0.07,10.41,208,ALAT_DILEPAS
0.83,-0.1,10.39,209,ALAT_DILEPAS
0.84,-0.09,10.39,197,ALAT_DILEPAS
0.85,-0.07,10.48,207,ALAT_DILEPAS
0.85,-0.07,10.37,210,ALAT_DILEPAS
0.85,-0.12,10.42,208,ALAT_DILEPAS
0.82,-0.07,10.43,208,ALAT_DILEPAS
0.83,-0.09,10.45,217,ALAT_DILEPAS
0.86,-0.09,10.44,210,ALAT_DILEPAS
0.89,-0.07,10.48,210,ALAT_DILEPAS
0.84,-0.11,10.42,213,ALAT_DILEPAS
0.86,-0.09,10.41,214,ALAT_DILEPAS
0.86,-0.1,10.44,218,ALAT_DILEPAS
0.84,-0.08,10.45,217,ALAT_DILEPAS
0.84,-0.11,10.36,208,ALAT_DILEPAS
0.87,-0.08,10.42,210,ALAT_DILEPAS
0.85,-0.1,10.43,211,ALAT_DILEPAS
0.88,-0.06,10.43,215,ALAT_DILEPAS
0.84,-0.11,10.44,207,ALAT_DILEPAS
0.81,-0.09,10.4,210,ALAT_DILEPAS
0.83,-0.11,10.41,210,ALAT_DILEPAS
0.81,-0.09,10.45,208,ALAT_DILEPAS
0.84,-0.12,10.42,209,ALAT_DILEPAS
0.88,-0.09,10.43,209,ALAT_DILEPAS
0.84,-0.08,10.47,209,ALAT_DILEPAS
0.83,-0.07,10.45,211,ALAT_DILEPAS
0.85,-0.08,10.43,214,ALAT_DILEPAS
0.85,-0.09,10.36,214,ALAT_DILEPAS
0.87,-0.1,10.46,218,ALAT_DILEPAS
0.84,-0.1,10.41,213,ALAT_DILEPAS
0.87,-0.11,10.36,210,ALAT_DILEPAS
0.82,-0.1,10.42,210,ALAT_DILEPAS
0.8,-0.06,10.41,211,ALAT_DILEPAS
0.84,-0.06,10.47,218,ALAT_DILEPAS
0.86,-0.08,10.49,208,ALAT_DILEPAS
0.84,-0.1,10.43,210,ALAT_DILEPAS
0.79,-0.11,10.47,208,ALAT_DILEPAS
0.77,-0.17,10.46,219,ALAT_DILEPAS
0.86,-0.08,10.45,219,ALAT_DILEPAS
0.74,-0.17,10.43,214,ALAT_DILEPAS
0.87,-0.09,10.42,212,ALAT_DILEPAS
0.87,-0.08,10.43,214,ALAT_DILEPAS
0.85,-0.06,10.39,217,ALAT_DILEPAS
0.87,-0.07,10.43,221,ALAT_DILEPAS
0.86,-0.03,10.46,223,ALAT_DILEPAS
0.84,-0.07,10.43,221,ALAT_DILEPAS
0.83,-0.09,10.36,213,ALAT_DILEPAS
0.86,-0.08,10.43,205,ALAT_DILEPAS
0.85,-0.12,10.43,198,ALAT_DILEPAS
0.85,-0.04,10.42,110,ALAT_DILEPAS
0.82,-0.06,10.47,150,ALAT_DILEPAS
0.88,-0.08,10.42,102,ALAT_DILEPAS
0.85,-0.07,10.47,43,ALAT_DILEPAS
0.84,-0.08,10.42,91,ALAT_DILEPAS
0.83,-0.08,10.44,180,ALAT_DILEPAS
0.84,-0.13,10.43,187,ALAT_DILEPAS
0.86,-0.07,10.4,203,ALAT_DILEPAS
0.81,-0.06,10.47,215,ALAT_DILEPAS
0.83,-0.06,10.36,219,ALAT_DILEPAS
0.85,-0.09,10.45,213,ALAT_DILEPAS
0.9,-0.11,10.45,212,ALAT_DILEPAS
0.79,-0.06,10.62,212,ALAT_DILEPAS
0.87,-0.11,10.41,214,ALAT_DILEPAS
0.84,-0.07,10.39,214,ALAT_DILEPAS
0.82,-0.11,10.46,219,ALAT_DILEPAS
0.85,-0.11,10.43,219,ALAT_DILEPAS
0.85,-0.09,10.44,208,ALAT_DILEPAS
0.82,-0.09,10.44,218,ALAT_DILEPAS
0.82,-0.11,10.44,218,ALAT_DILEPAS
0.79,-0.13,10.34,218,ALAT_DILEPAS
0.85,-0.06,10.4,219,ALAT_DILEPAS
0.84,-0.11,10.44,218,ALAT_DILEPAS
0.87,-0.07,10.42,213,ALAT_DILEPAS
0.83,-0.08,10.4,213,ALAT_DILEPAS
